"site","lime_tha","emmean","SE","df","lower.CL","upper.CL",".group","col","crop","ecec","ExAc","pH","SOC","tex"
"Burera",0,1.32690781643672,0.341567120658336,11.719246381558,0.58071479774856,2.07310083512489,1,5,"bean",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",0,3.42750804331445,0.308077525804229,18.7745821441461,2.78216997155175,4.07284611507716,1,6,"maize",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",1,4.55827727408368,0.308077525804229,18.7745821441461,3.91293920232098,5.20361534584639,2,6,"maize",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",7,2.01940781643672,0.341567120658336,11.719246381558,1.27321479774856,2.76560083512489,2,5,"bean",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",2.5,5.4736618894683,0.308077525804229,18.7745821441461,4.82832381770559,6.118999961231,3,6,"maize",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",1,1.74524114977006,0.341567120658336,11.719246381558,0.999048131081894,2.49143416845822,12,5,"bean",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",2.5,1.85190781643672,0.341567120658336,11.719246381558,1.10571479774856,2.59810083512489,2,5,"bean",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Burera",7,6.01981573562214,0.308077525804229,18.7745821441461,5.37447766385944,6.66515380738485,3,6,"maize",5.99691134810072,0.695926420429652,5.38923532116872,1.4238524308192,76.5922207825399
"Geita",0,2.10090187640996,0.360659747574792,24.0658648176754,1.35664453484159,2.84515921797832,1,3,"maize",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",2.5,0.828571428571426,0.0523055539297685,39.2084506526377,0.722791440378128,0.934351416764723,3,2,"bean",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",1,2.98555246224996,0.359982191270886,23.9048553276826,2.24242921704931,3.72867570745061,2,3,"maize",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",0,0.413690476214283,0.0523055539297685,39.2084506526377,0.307910488020986,0.519470464407581,1,2,"bean",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",1,0.587500000071426,0.0523055539297685,39.2084506526377,0.481720011878128,0.693279988264723,2,2,"bean",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",2.5,3.25004184188996,0.360659747574792,24.0658648176754,2.50578450032159,3.99429918345832,2,3,"maize",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",7,3.78720431944996,0.359982191270886,23.9048553276826,3.04408107424931,4.53032756465061,3,3,"maize",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Geita",7,0.996428571464283,0.0523055539297685,39.2084506526377,0.890648583270986,1.10220855965758,4,2,"bean",5.45815059562341,0.4131427834852,6.03947101183672,0.884148065893796,50.2025538044178
"Jimma",0,5.44004711321272,0.218222918004821,49.6037301354846,5.00164670848939,5.87844751793606,1,1,"maize",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",1,6.82839777516396,0.218222918004821,49.6037301354846,6.38999737044062,7.26679817988729,2,1,"maize",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",7,6.92207796104201,0.218222918004821,49.6037301354846,6.48367755631868,7.36047836576534,23,1,"maize",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",2.5,7.16518831648103,0.218222918004821,49.6037301354846,6.7267879117577,7.60358872120436,3,1,"maize",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",7,1.97348388759594,0.0689509157276304,46.642140059339,1.83474443797464,2.11222333721725,4,1,"soybean",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",0,1.32225531612094,0.0689509157276304,46.642140059339,1.18351586649964,1.46099476574225,1,1,"soybean",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",1,1.68803417329594,0.0689509157276304,46.642140059339,1.54929472367464,1.82677362291725,2,1,"soybean",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Jimma",2.5,1.83818569707094,0.0689509157276304,46.642140059339,1.69944624744964,1.97692514669225,3,1,"soybean",13.2960899632806,0.215564304559811,5.4871438582535,1.66510153378371,87.4814390563567
"Mbozi",0,1.86621419970372,0.236382010282493,40.7024079585409,1.38872502347892,2.34370337592851,1,2,"maize",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",1,2.87653639300001,0.236382010282493,40.7024079585409,2.39904721677521,3.35402556922481,2,2,"maize",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",2.5,3.25323840481482,0.236382010282493,40.7024079585409,2.77574922859003,3.73072758103962,23,2,"maize",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",7,3.57518013318519,0.236382010282493,40.7024079585409,3.0976909569604,4.05266930940999,3,2,"maize",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
"Mbozi",1,0.722666666639998,0.0783770574930769,29.5773055457337,0.562503380660058,0.882829952619938,2,1,"bean",7.83365482246966,0.459874058358497,5.89427211731563,1.19731380095482,76.429696548086
